id1,date,survey_area,v1_sex,v2_gen,v3_residence,「道内」の場合の市町村名,「道外」の場合の市町村名,v4_fishing_experience_years,v5_fishing_days_this_season,v6_fishing_days_last_season,v7_no_spot_reservation,v7_no_tent,v7_no_dune_destruction,v7_no_entry_restricted_area,v7_no_littering,v7_no_fishing_in_restricted_area,v8_max_rods_three,v8_max_catch_three,v8_discourage_release,v8_discourage_miniboat_use,v8_discourage_illegal_parking,v8_discourage_camping,v8_discourage_bonfire,v8_use_designated_toilets,v9_checked_last_year_only,v9_never_checked,v9_info_tv_newspaper,v9_info_fishing_magazine,v9_info_abashiri_city_website,v9_info_abashiri_city_sns,v9_info_beach_signboard,v9_info_friends_word_of_mouth,v9_info_personal_sns,v9_info_web_blog,v9_other,v10_formulation_procedure,v11_improve_transparency_process,v11_improve_opportunity_for_input,v11_reflect_fishers_opinions,v11_no_need_for_rule_making,v11_other,v12_fisher_burden,v13_user_burden,v14_license_system,v15_1_purchase_intent,v15_2_license_type,v15_3_license_wtp," 5,000円以下（　　　　　円）の場合、いくら？（半角数字のみ入力）"," 150,000円以上（　　　　　円）の場合、いくら？（半角数字のみ入力）",v16_desired_fishing_days,v17_1_max_rods_three,v17_1_max_catch_three,v17_1_no_spot_reservation,v17_1_all_equally_important,v17_1_dont_know,v17_2_max_rods_three,v17_2_max_catch_three,v17_2_no_spot_reservation,v17_2_all_equally_important,v17_2_dont_know,v17_3_reason_reduce_enjoyment,v17_3_reason_insufficient_discussion,v17_3_reason_ambiguous_rule,v17_3_reason_difficult_to_follow,v17_3_reason_unlikely_to_be_followed,v17_3_reason_has_loopholes,v17_3_other,v18_household_income,free_text_response
90,10月5日,鱒浦,男性,40代,道内,北見市,,5年未満,5日未満,昨シーズンは来ていない,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,知らないが、納得している,0,0,0,0,,あまり知らない,ややそう思う,どちらかといえば反対,ライセンスを購入しない,NA,5000円以下（　　　　　円）,,,5日未満,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,200万円以上400万円未満,
91,10月5日,鱒浦,男性,40代,道内,北見市,,10年以上20年未満,5日未満,5日未満,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,,知らないが、納得している,0,0,0,0,,知らない,ややそう思う,わからない,ライセンスを購入する,1シーズン有効券,5000円以下（　　　　　円）,,,5日未満,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,"1,200万円以上1,500万円未満",
92,10月5日,鱒浦,男性,50代,網走市内,,,5年未満,5日未満,5日未満,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,知っていて、納得している,1,0,0,0,,知っている,わからない,わからない,ライセンスを購入しない,NA,NA,,,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,NA,
93,10月5日,鱒浦,男性,30代,道内,紋別,,5年未満,5日未満,5日未満,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,,知っていて、納得している,1,0,0,0,,少し知っている,ややそう思う,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,5日以上10日未満,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,600万円以上800万円未満,
94,10月5日,鱒浦,男性,80代以上,網走市内,,,20年以上,10日以上30日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,NA,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,,200万円未満,
95,10月5日,鱒浦,男性,50代,道内,苫小牧,,20年以上,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,知っているが、納得していない,0,1,0,0,,少し知っている,あまりそう思わない,どちらかといえば反対,ライセンスを購入する,NA,5000円以下（　　　　　円）,,,10日以上30日未満,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,400万円以上600万円未満,
96,10月5日,鱒浦,男性,40代,道内,,,20年以上,5日未満,昨シーズンは来ていない,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,知っていて、納得している,0,0,1,0,,知っている,そう思う,どちらかといえば賛成,ライセンスを購入する,1シーズンの週末（土日）のみ有効券,5000円以下（　　　　　円）,1000,,5日未満,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,"1,200万円以上1,500万円未満",
97,10月5日,鱒浦,男性,50代,道内,,,10年以上20年未満,5日未満,5日以上10日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,知っているが、納得していない,0,1,0,0,,知っている,あまりそう思わない,どちらかといえば反対,ライセンスを購入する,1シーズン有効券,5000円以下（　　　　　円）,,,5日未満,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,,回答したくない,
98,10月5日,鱒浦,女性,50代,道内,,,5年以上10年未満,5日未満,5日未満,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,,知っていて、納得している,0,0,0,0,,あまり知らない,あまりそう思わない,どちらかといえば反対,ライセンスを購入しない,NA,わからない,,,5日未満,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,
99,10月5日,鱒浦,男性,50代,道内,北竜町,,20年以上,5日未満,5日未満,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,,知らないが、納得している,0,0,0,0,,あまり知らない,あまりそう思わない,どちらかといえば賛成,ライセンスを購入する,1日有効券,5000,,,5日未満,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,"800万円以上1,000万円未満",
48,10月17日,鱒浦,男性,80代以上,道内,北見,,5年以上10年未満,5日以上10日未満,5日以上10日未満,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,,知っていて、納得している,0,0,0,0,,知っている,ややそう思う,どちらかといえば反対,ライセンスを購入する,1日有効券,わからない,,,5日以上10日未満,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,200万円未満,
49,10月17日,鱒浦,男性,50代,道内,恵庭,,20年以上,5日未満,昨シーズンは来ていない,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,,知らないが、納得している,0,0,0,0,,知らない,そう思わない,反対,ライセンスを購入しない,NA,NA,,,5日以上10日未満,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,"1,000万円以上1,200万円未満",ルールいはんの人には、ばっきん
50,10月17日,鱒浦,男性,70代,道内,上富良野,,5年以上10年未満,5日未満,NA,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,わからない,わからない,ライセンスを購入しない,NA,NA,,,5日未満,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,200万円以上400万円未満,
51,10月17日,鱒浦,男性,60代,道内,上富（入力者注：上富良野か）,,20年以上,5日以上10日未満,5日以上10日未満,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,,知っていて、納得している,0,0,0,0,,知っている,ややそう思う,反対,ライセンスを購入しない,1日有効券,10000,,,5日未満,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,200万円以上400万円未満,
52,10月17日,鱒浦,男性,40代,網走市内,,,5年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,,知っていて、納得している,0,0,1,0,,あまり知らない,そう思わない,わからない,ライセンスを購入しない,NA,NA,,,わからない,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,600万円以上800万円未満,
53,10月17日,鱒浦,男性,40代,道内,美幌,,20年以上,5日未満,10日以上30日未満,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,,知っていて、納得している,1,0,0,0,,知っている,そう思う,賛成,ライセンスを購入する,1日有効券,5000円以下（　　　　　円）,,,5日以上10日未満,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,600万円以上800万円未満,
54,10月17日,鱒浦,男性,70代,道内,北見市,,20年以上,10日以上30日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,,知っていて、納得している,0,0,0,0,,知っている,ややそう思う,どちらかといえば賛成,NA,NA,NA,,,わからない,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,200万円未満,
55,10月17日,鱒浦,女性,40代,道内,,,10年以上20年未満,5日未満,5日未満,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,,知っていて、納得している,0,0,0,0,,少し知っている,ややそう思う,わからない,ライセンスを購入する,1シーズンの週末（土日）のみ有効券,5000円以下（　　　　　円）,,,5日未満,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,,回答したくない,
56,10月17日,鱒浦,NA,NA,NA,,,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,NA,0,0,0,0,,知らない,ややそう思う,NA,NA,1シーズンの週末（土日）のみ有効券,NA,,,5日未満,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,NA,
57,10月17日,鱒浦,男性,60代,道内,美幌,,20年以上,10日以上30日未満,10日以上30日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,,知っているが、納得していない,0,1,0,0,,知っている,そう思わない,反対,ライセンスを購入しない,1日有効券,10000,,,5日以上10日未満,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,200万円未満,
58,10月17日,鱒浦,男性,80代以上,道内,くしろ,,20年以上,5日未満,昨シーズンは来ていない,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,知らないが、納得している,1,0,0,0,,あまり知らない,あまりそう思わない,どちらかといえば反対,ライセンスを購入しない,NA,5000円以下（　　　　　円）,,,わからない,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,回答したくない,
59,10月17日,鱒浦,男性,40代,道内,広尾,,20年以上,5日未満,5日以上10日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知らない,わからない,反対,ライセンスを購入しない,NA,10000,,,5日以上10日未満,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,400万円以上600万円未満,
60,10月17日,鱒浦,男性,70代,道内,帯広,,20年以上,5日未満,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,あまりそう思わない,どちらかといえば賛成,ライセンスを購入する,1日有効券,わからない,,,5日未満,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,回答したくない,
61,10月17日,鱒浦,男性,50代,道内,斜里,,20年以上,10日以上30日未満,5日以上10日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,賛成,ライセンスを購入する,1シーズン有効券,わからない,,,10日以上30日未満,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,"800万円以上1,000万円未満",
62,10月17日,鱒浦,男性,20代,道内,恵庭,,5年未満,5日未満,5日未満,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,,知らないが、納得している,0,0,0,0,,知っている,そう思わない,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,わからない,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,200万円以上400万円未満,
63,10月17日,鱒浦,男性,50代,道内,札幌市,,10年以上20年未満,5日以上10日未満,5日未満,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,,知らないが、納得している,0,0,0,0,,知らない,そう思わない,反対,ライセンスを購入する,NA,5000円以下（　　　　　円）,2000,,5日未満,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,600万円以上800万円未満,
64,10月17日,鱒浦,男性,70代,道内,北見市,,20年以上,5日未満,昨シーズンは来ていない,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,知らないが、納得している,0,0,1,0,,知っている,そう思う,どちらかといえば賛成,ライセンスを購入する,1シーズン有効券,5000円以下（　　　　　円）,,,5日未満,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,200万円未満,
66,10月17日,鱒浦,男性,70代,道内,,,20年以上,5日未満,5日未満,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,知らないし、納得していない,0,0,1,0,,知らない,そう思わない,反対,ライセンスを購入しない,NA,NA,,,わからない,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,400万円以上600万円未満,（ルール認知関連の質問のそばに次のような記述あり）すべて知らない　条例として定められたものかが解らない　世間のあんもくマナに基ずいての問いか？
67,10月17日,鱒浦,男性,40代,道内,帯広市,,5年以上10年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,知らないが、納得している,0,0,0,0,,知っている,ややそう思う,わからない,ライセンスを購入する,1シーズン有効券,50000,,,5日未満,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,"1,500万円以上",
68,10月19日,モヨロ,男性,40代,道内,釧路市,,10年以上20年未満,5日未満,5日未満,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,,知っていて、納得している,0,0,0,0,,知っている,あまりそう思わない,反対,ライセンスを購入する,1日有効券,10000,,,5日以上10日未満,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,600万円以上800万円未満,
69,10月24日,北浜,男性,30代,道内,滝川市,,5年未満,5日未満,昨シーズンは来ていない,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,,知らないが、納得している,0,0,0,0,,知らない,わからない,わからない,ライセンスを購入しない,NA,NA,,,5日以上10日未満,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,わからない,200万円以上400万円未満,
70,10月24日,北浜,男性,50代,道内,砂川,,20年以上,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,,知らないが、納得している,0,0,0,0,,知っている,あまりそう思わない,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,5日以上10日未満,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,回答したくない,
71,10月24日,北浜,男性,60代,道内,北見,,5年未満,5日未満,昨シーズンは来ていない,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,知らないが、納得している,1,0,0,0,,知らない,そう思う,どちらかといえば反対,ライセンスを購入する,1日有効券,5000円以下（　　　　　円）,2000,,5日以上10日未満,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,400万円以上600万円未満,
72,10月24日,北浜,男性,60代,道内,富良野,,20年以上,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,どちらかといえば反対,ライセンスを購入しない,NA,NA,,,5日未満,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,"1,000万円以上1,200万円未満",
73,10月24日,北浜,男性,30代,道内,十勝,,5年未満,5日未満,5日以上10日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,賛成,NA,NA,わからない,,,5日以上10日未満,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,400万円以上600万円未満,
74,10月24日,北浜,男性,50代,道内,北見,,20年以上,5日未満,5日以上10日未満,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,,知っているが、納得していない,0,1,1,0,,あまり知らない,ややそう思う,どちらかといえば賛成,ライセンスを購入する,1シーズン有効券,10000,,,5日以上10日未満,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,,"800万円以上1,000万円未満","ルールではないが、意見として
・常連が場所取りをじまんしていた（北浜駅ウラ　80代男性　草刈りやゴミ拾いをしているから　特別と言っていた）
・漁師で浜の？？とかで？？にすれば良いと思う。"
75,10月24日,北浜,男性,50代,道内,浦河町,,5年以上10年未満,5日未満,5日未満,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,賛成,ライセンスを購入する,1シーズンの週末（土日）のみ有効券,10000,,,5日未満,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,600万円以上800万円未満,
76,10月24日,北浜,男性,60代,道内,鷹栖町,,20年以上,5日未満,昨シーズンは来ていない,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,あまり知らない,ややそう思う,どちらかといえば賛成,ライセンスを購入する,1日有効券,10000,,,5日以上10日未満,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,釣れた時点でその日が終了してしまうから,200万円以上400万円未満,
77,10月24日,北浜,男性,80代以上,網走市内,,,10年以上20年未満,30日以上50日未満,50日以上,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思う,賛成,ライセンスを購入する,1シーズン有効券,30000,,,10日以上30日未満,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,200万円未満,
78,10月24日,北浜,男性,70代,道内,旭川市,,10年以上20年未満,5日以上10日未満,5日未満,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,知らないが、納得している,0,0,0,0,,知っている,わからない,わからない,ライセンスを購入する,1シーズン有効券,10000,,,5日以上10日未満,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,,200万円以上400万円未満,
79,10月24日,北浜,男性,70代,道内,旭川,,20年以上,5日未満,昨シーズンは来ていない,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,知っていて、納得している,0,0,0,0,,知っている,そう思わない,反対,ライセンスを購入しない,NA,NA,,,NA,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,回答したくない,
